age,male,female
1,0.00032,0.0002
2,0.00023,0.00016
3,0.00018,0.00013
4,0.00015,0.00011
5,0.00012,0.0001
6,0.0001,0.00008
7,0.00009,0.00008
8,0.00009,0.00008
9,0.00009,0.00008
10,0.00009,0.00008
11,0.0001,0.00009
12,0.00012,0.0001
13,0.00015,0.00012
14,0.00019,0.00014
15,0.00025,0.00017
16,0.00033,0.0002
17,0.00042,0.00022
18,0.00053,0.00025
19,0.00063,0.00026
20,0.00073,0.00028
21,0.00081,0.00028
22,0.00088,0.00029
23,0.00094,0.00029
24,0.00099,0.0003
25,0.00105,0.00031
26,0.00111,0.00032
27,0.00118,0.00034
28,0.00125,0.00036
29,0.00133,0.00039
30,0.00142,0.00042
31,0.00152,0.00046
32,0.00163,0.0005
33,0.00176,0.00055
34,0.0019,0.00059
35,0.00205,0.00064
36,0.00222,0.00069
37,0.0024,0.00075
38,0.00259,0.00082
39,0.0028,0.00089
40,0.00303,0.00099
41,0.00329,0.0011
42,0.00358,0.00122
43,0.00391,0.00136
44,0.00428,0.00152
45,0.00468,0.0017
46,0.00513,0.00189
47,0.00562,0.0021
48,0.00617,0.00233
49,0.00678,0.00257
50,0.00746,0.00282
51,0.00821,0.0031
52,0.00902,0.0034
53,0.0099,0.00374
54,0.01084,0.00413
55,0.01185,0.00457
56,0.01296,0.00507
57,0.01418,0.00564
58,0.01552,0.00628
59,0.01702,0.007
60,0.01868,0.00781
61,0.0205,0.00871
62,0.02248,0.00968
63,0.02465,0.01073
64,0.02698,0.01185
65,0.02943,0.01306
66,0.03197,0.01434
67,0.0346,0.01573
68,0.03724,0.01725
69,0.03996,0.0189
70,0.04278,0.02072
71,0.04581,0.02273
72,0.0491,0.02496
73,0.05275,0.02743
74,0.05677,0.03018
75,0.06123,0.03324
76,0.06608,0.03664
77,0.07135,0.04042
78,0.07707,0.04465
79,0.08337,0.04949
80,0.09033,0.05505
81,0.09817,0.06152
82,0.10707,0.06908
83,0.11713,0.0779
84,0.12822,0.08792
85,0.14025,0.09913
86,0.15297,0.11141
87,0.16613,0.12457
88,0.1795,0.1384
89,0.1931,0.15289
90,0.20692,0.16804
91,0.22099,0.18381
92,0.23536,0.20021
93,0.25003,0.21725
94,0.26493,0.2348
95,0.27999,0.25276
96,0.29514,0.27098
97,0.31029,0.28931
98,0.32536,0.30706
99,0.34029,0.32572
100,1,1
